,Date,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
2071,2018-03-27,87.41613302230834,79.16981549263001,176.76680986504806,65.01191902160645,51.58786392211914,88.12151157494748,117.25593503316243,102.89122596468245,79.29518010539394,85.95637254457216,44.148248475173425
2072,2018-03-28,86.26859998703003,78.12047033309936,175.4623825842874,65.53163724475436,50.46307439389436,88.18631583994085,117.37231296963162,102.47064399719238,80.88729412324967,84.85331131960895,44.173290515768116
2073,2018-03-29,88.05738668441772,79.6797354221344,174.053634292201,66.45632457733154,51.4728829342386,89.26404775272717,118.32888506329249,104.0924440928868,80.97310066223145,86.46897790883038,44.430918726427805
2074,2018-04-02,86.0481333732605,77.35720138549804,172.80273305324087,65.05997678968642,50.39494709346605,87.22718504703406,115.9003516908676,101.97762289047242,79.81448674971058,84.30237980146666,44.078715751911034
2075,2018-04-03,87.05121870040894,77.86951794624329,175.60685005522612,65.56561628977458,51.33241209776505,88.31285356752801,117.23315998864553,103.51007578713553,80.20799344585788,85.29578647098026,44.3046638225687
2076,2018-04-04,87.86164817810058,78.87299761772155,179.6494083404541,66.62935760286119,51.30106532055399,89.03069205717607,118.60429621499682,104.18359139306204,81.11036017633253,86.30060733331216,44.3538629597631
2077,2018-04-05,89.59552783966065,79.86678948402405,181.93573740908974,66.91037215126886,52.24533736187479,89.37489508137558,118.73020608084542,105.17047996520996,81.11355852311657,86.35828112911534,44.683832234349744
2078,2018-04-06,87.24106845855712,78.42786874771119,177.89700856125145,66.38891506195068,51.13070877738621,87.30033371665262,115.44637495373922,102.34888718468802,80.38410112934727,84.30671447676582,44.38999235218969
2079,2018-04-09,87.20467510223389,78.9921462059021,177.83735233440734,66.41971959008112,51.25267074419104,87.7020222345988,116.3173943776933,102.12057525089809,80.42405306908393,84.7077944149842,44.45599029804098
2080,2018-04-10,88.93305120468139,80.03906211853027,180.44325224558511,66.49629047181871,53.07725831736689,88.95157601616599,118.78709229968842,103.67564462934222,79.95646729007844,86.69916437767647,44.13856618157749
